OBECJTID,COUNTY,SCHOOL,ADDRESS,ROLL_NUMBE,PHONE,ENROLLMENT,GENDER,GAELTACHT,DENOMINATI,DIOCESE,PARISH,EASTING_,NORTHING
2928,Dublin City,INCHICORE NS,SARSFIELD ROAD  INCHICORE  DUBLIN 10,20139T,01 4536505,209,Mixed,Ordinary School,CATHOLIC,DUBLIN,,311941.235,233640.530
2930,Dun Laoghaire - Rathdown,THE HAROLD SCHOOL,EDEN ROAD  GLASTHULE  CO DUBLIN,20141G,01 2805708,496,Mixed,Ordinary School,CATHOLIC,DUBLIN,,325054.844,227805.984
2934,Dublin Fingal,SWORDS EDUCATE TOGETHER NS,APPLEWOOD  SWORDS  CO DUBLIN,20145O,01 8903899,273,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,317709.438,248500.313
2941,Dublin City,NORTH DUBLIN MUSLIM NS PROJECT,C/O ST JOSEPHS SCHOOL FOR THE DEAF  NAVAN ROAD  DUBLIN 7,20152L,01 8689587,160,Mixed,Ordinary School,MUSLIM,,,313066.731,236162.023
2948,Dublin Belgard/South,GRIFFEEN VALLEY EDUCATE TOGETHER NS,GRIFFEEN GLEN BOULEVARD  LUCAN  CO. DUBLIN.,20166W,087 7518210,326,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,304915.750,234637.766
2949,Dublin City,GLASNEVIN EDUCATE TOGETHER NS,CHURCH AVENUE  GLASNEVIN  DUBLIN 9,20168D,01 8844563,157,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,316564.413,236854.312
2954,Dublin Belgard/South,ST ANNES PRIMARY SCHOOL,FETTERCAIRN  TALLAGHT  DUBLIN 24,20173T,01 4515850,351,Mixed,Ordinary School,CATHOLIC,DUBLIN,,307280.000,227884.000
2956,Dublin Fingal,RUSH AND LUSK EDUCATE TOGETHER NS,HANNAS AVENUE  BLAKES CROSS CORDUFF  LUSK  CO DUBLIN,20176C,087 9971244,99,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,320401.000,252336.000
2965,Dublin City,CENTRAL SENIOR MXD N S,MARLBORO ST  DUBLIN 1,00752A,01 8788103,171,Mixed,Ordinary School,CATHOLIC,DUBLIN,PRO-CATHEDRAL,316006.000,234775.000
2990,Dublin City,ST VINCENT DE PAULS GIRLS SCHOOL,GRIFFITH AVENUE  DUBLIN 9,16753P,01 8334697,301,Girls,Ordinary School,CATHOLIC,DUBLIN,MARINO,316325.000,237640.000
2995,Dublin Belgard/South,S N NAOMH CILLIN,ROBINHOOD RD. BLUEBELL  INCHICORE  DUBLIN 12,16983J,01 4500440,28,Mixed,Ordinary School,CATHOLIC,DUBLIN,BLUEBELL,311190.000,230900.000
2996,Dublin City,CHRIST THE KING G N S,CABRA  DUBLIN 7,16989V,01 8680115,96,Girls,Ordinary School,CATHOLIC,DUBLIN,CABRA,314179.000,236184.000
3025,Dublin City,SN LOUISE DE MARILLAC C,DRUMFIN RD  BALLYFERMOT  DUBLIN 10,18341C,01 6265081,214,Girls,Ordinary School,CATHOLIC,DUBLIN,BALLYFERMOT UPPER,309295.000,234335.000
3026,Dublin City,SN LOUISE DE MARILLAC,BALLYFERMOT  DUBLIN 10,18342E,01 6234153,233,Mixed,Ordinary School,CATHOLIC,DUBLIN,BALLYFERMOT UPPER,309295.000,234335.000
3035,Dublin City,SN BANRION NA NAINGEAL1,BALLYFERMOT  DUBLIN 10,18585H,01 6265207,164,Boys,Ordinary School,CATHOLIC,DUBLIN,BALLYFERMOT UPPER,309297.000,234082.000
3039,Dublin Fingal,BRACKEN EDUCATE TOGETHER,C/O SUNSHINE HOUSE BALBRIGGAN CO DUBLIN,20282B,,0,Mixed,,MULTI DENOMINATIONAL,,,318748.000,263997.000
3040,Dublin Fingal,ST BENEDICTS AND ST MARYS NATIONAL SCHOOL,GRANGE PARK RAHENY DUBLIN 5,20281W,,0,Mixed,Ordinary School,CATHOLIC,DUBLIN,GRANGE PARK,323660.000,240242.000
3042,Dublin Fingal,GAELSCOIL BHAILE BRIGIN,SUNSHINE HOUSE  BHAILE BRIGIN  CONTAE ATHA CLIATH,20252P,01 8832746,34,Mixed,All Irish School,INTER DENOMINATIONAL,AN FORAS,,320485.000,263626.000
3044,Dublin Belgard/South,ESKER EDUCATE TOGETHER NS,ADAMSTOWN CASTLE ADAMSTOWN CO DUBLIN,20274C,,0,Mixed,Gaeltacht School,MULTI DENOMINATIONAL,,,302871.000,232358.000
3046,Dublin Fingal,SCOIL THOMAIS,LAUREL LODGE  CASTLEKNOCK  DUBLIN 15,19769W,01 8201022,678,Mixed,Ordinary School,CATHOLIC,DUBLIN,LAUREL LODGE-CARPENTERSTOWN PK,307984.000,237610.000
3047,Dublin Fingal,LADYSWELL N S,LADYSWELL  MULHUDDART  DUBLIN 15,19850F,01 8204255,492,Mixed,Ordinary School,CATHOLIC,DUBLIN,BLANCHARDSTOWN,306427.000,240874.000
3049,Dublin City,NORTH BAY EDUCATE TOGETHER NS,GREENDALE AVENUE  KILBARRACK  DUBLIN 5,19954R,01 8325536,235,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,323089.000,238760.000
3055,Dublin City,ST LAURENCE O TOOLES GIRLS SCHOOL,49 SEVILLE PLACE  NORTH WALL  DUBLIN 1,20228S,01 8366494,121,Girls,Ordinary School,CATHOLIC,DUBLIN,SEVILLE PLACE,317073.000,234891.000
3057,Dun Laoghaire - Rathdown,ARCHBISHOP MCQUAID NATIONAL SCHOOL,LOUGHLINSTOWN  DUN LAOGHAIRE  CO DUBLIN.,20218P,01 2821220,132,Mixed,Ordinary School,CATHOLIC,DUBLIN,LOUGHLINSTOWN,324846.000,223641.000
3059,Dublin Belgard/South,GAELSCOIL EISCIR RIADA,B-THAR AN GHRIFFIN  LEAMHCAN  CO ATHA CLIATH,20223I,01 6264531,65,Mixed,All Irish School,CATHOLIC,AN FORAS,,302760.000,232352.000
3061,Dublin Fingal,ST BENEDICTS NATIONAL SCHOOL,C/O MARY MOTHER OF HOPE NS  LITTLEPACE  DUBLIN 15,20231H,,58,Mixed,Ordinary School,CATHOLIC,,,303889.000,239473.000
3067,Dublin Fingal,BALBRIGGAN EDUCATE TOGETHER NS,HAMLET LANE  MOYLARAGH  CO DUBLIN,20202A,086 0691895,158,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,318748.000,263997.000
3070,Dublin City,ST ULTANS NS,CHERRY ORCHARD  DUBLIN 10,20092T,,56,Mixed,Ordinary School,CATHOLIC,DUBLIN,,308024.000,233077.000
3072,Dublin City,BAINRION NA N-AINGAL 2,BALLYFERMOT UPPER  DUBLIN 10,18843D,01 6235067,140,Boys,Ordinary School,CATHOLIC,DUBLIN,BALLYFERMOT UPPER,309510.000,233798.000
3073,Dublin City,BANTIARNA NA MBUANNA B,BAILE MUNNA  DUBLIN 9,18910P,01 8375255,179,Boys,Ordinary School,CATHOLIC,DUBLIN,BALLYMUN,315365.000,239837.000
3074,Dublin City,BANTIARNA NA MBUANNA G,BAILE MUNNA  DUBLIN 9,18911R,01 8379833,186,Girls,Ordinary School,CATHOLIC,DUBLIN,BALLYMUN,315365.000,239837.000
3075,Dublin City,SN AN SPIORAID NAIOMH C,SILLOGUE RD  BALLYMUN  DUBLIN 11,19209H,01 8420207,346,Girls,Ordinary School,CATHOLIC,DUBLIN,SILLOGE,315352.000,239980.000
3082,Dublin Belgard/South,ST THOMAS JUNIOR NATIONAL SCHOOL,ESKER  LUCAN  CO DUBLIN,19542R,01 6282691,460,Mixed,Ordinary School,CATHOLIC,DUBLIN,ESKER-DODDSBORO,303339.000,234255.000
3083,Dublin Belgard/South,SCOIL N AN CROI RO NAOFA,KILLINARDEN  TALLAGHT  DUBLIN 24,19543T,01 4524811,254,Mixed,Ordinary School,CATHOLIC,DUBLIN,KILLINARDEN,307211.000,226557.000
3084,Dublin Belgard/South,AN CHROI RO NAOFA SOIS,KILLINARDEN  TALLAGHT  DUBLIN 24,19652B,01 4524064,292,Mixed,Ordinary School,CATHOLIC,DUBLIN,KILLINARDEN,307211.000,226557.000
3086,Dublin City,ST MALACHYS NS,RIVERMOUNT  FINGLAS  DUBLIN 11,19619D,01 8345875,156,Mixed,Ordinary School,CATHOLIC,DUBLIN,RIVERMOUNT,313184.000,238234.000
3088,Dun Laoghaire - Rathdown,ST ATTRACTAS SENIOR N S,MEADOWBROOK  DUNDRUM  DUBLIN 14,19716B,01 2951627,353,Mixed,Ordinary School,CATHOLIC,DUBLIN,MEADOWBROOK,316937.000,227968.000
3089,Dublin Fingal,HOLY FAMILY JUNIOR N S,FOREST FIELDS  SWORDS  CO DUBLIN,19721R,01 8404394,509,Mixed,Ordinary School,CATHOLIC,DUBLIN,RIVER VALLEY,317201.000,246040.000
3090,Dublin City,SCOIL CHAOIMHIN,SRAID MHAOILBHRIDE  BAILE ATHA CLIATH 1,19831B,01 8788594,63,Mixed,All Irish School,CATHOLIC,DUBLIN,PRO-CATHEDRAL,316006.000,234775.000
3091,Dublin Fingal,HOLY FAMILY SENIOR N S,FOREST FIELDS  RIVER VALLEY  SWORDS  CO DUBLIN,19877C,01 8406334,515,Mixed,Ordinary School,CATHOLIC,DUBLIN,RIVER VALLEY,317201.000,246040.000
3094,Dublin Belgard/South,GAELSCOIL NA CAMOIGE,ARAS CHRONAIN  BOTHAR AN ULLOIRD  CLUAIN DOLCAIN  BAILE ATHA CLIATH 22,19991A,01 4576878,218,Mixed,All Irish School,CATHOLIC,DUBLIN,CLONDALKIN,307380.000,231736.000
3097,Dublin City,GAELSCOIL CHOLMCILLE,ST KEVINS BOYS CLUB  BR CRESTFIELD CNOC NA FUISEOIGE  FIONNBHRU B.A.C.9,20052H,01 8571541,226,Mixed,All Irish School,CATHOLIC,AN FORAS,,316466.000,238946.000
3103,Dublin Fingal,DONABATE/PORTRANE EDUCATE TOGETHER,BALLISK COMMON  OFF PORTRANE ROAD  DONABATE  CO DUBLIN,20161M,01 8434573,275,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,323070.000,250433.000
3108,Dublin Belgard/South,ADAMSTOWN CASTLE EDUCATE TOGETHER,ADAMSTOWN CASTLE ADAMSTOWN CO DUBLIN,20268H,,0,Mixed,Gaeltacht School,MULTI DENOMINATIONAL,,,302951.000,232350.000
3113,Dublin Belgard/South,ARCHBISHOP RYAN SENIOR N S,BALGADDY  LUCAN  CO DUBLIN,20187H,01 4670689,454,Mixed,Ordinary School,CATHOLIC,DUBLIN,LUCAN,305563.000,233425.000
3114,Dublin Belgard/South,ST JOHN THE EVANGELIST NATIONAL SCHOOL,ADAMSTOWN  CO DUBLIN,20194E,,0,Mixed,Gaeltacht School,CATHOLIC,DUBLIN,,302951.000,232350.000
3115,Dublin City,GAELSCOIL UI EARCAIN,C/O W.F.T.R.A. HALL  BOTHAR MAELIOSA  FIONNGHLAS  B.A.C. 11,20220C,01 8643544,37,Mixed,All Irish School,CATHOLIC,DUBLIN,FINGLAS,312404.000,239107.000
3116,Dublin Fingal,CASTAHEANY EDUCATE TOGETHER NS,PREFABS IN GROUNDS OF  MARY MOTHER OF HOPE SCHOOL  LITTLEPACE  DUBLIN 15,20186F,01 6217881,244,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,304786.000,240790.000
3117,Dublin Fingal,TYRRELSTOWN EDUCATE TOGETHER,POWERSTOWN ROAD  TYRRELSTOWN  DUBLIN 15,20201V,,212,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,306713.000,241936.000
3156,Dublin Belgard/South,GAELSCOIL CHLUAIN DOLCAIN,BOTHAR NANGOR  CLUAIN DOLCAIN  BAILE ATHA CLIATH 22,19855P,01 4574970,288,Mixed,All Irish School,CATHOLIC,DUBLIN,SRULEEN,305632.000,231261.000
